code,name,credits,prerequisites,corequisites,typically_offered
ME 5320,Compressible Fluid Flow,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
MATH 2660,Elementary Differential Equations,3,"[""MATH 1660"", ""MATH 1660H""]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 4910,Laboratory Component,1,"[]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 4440,Elements and Performance of Power Plants,3,"[""ME 3320"", ""ME 3350""]","[]","[""Spring""]"
ME 4490,Internal Combustion Engines,3,"[""ME 3320""]","[]","[""Fall""]"
ME 6900Q,Advanced Topics: Independent Literature Investigation,1,"[""Department Permission for Course""]","[]","[]"
ME 5420,Advanced Combustion,3,"[""Junior"", ""Senior"", ""Graduate Standing""]","[]","[""Spring""]"
MATH 1630X,Elements of Calculus,4,"[""MATH 1600"", ""MATH 1650""]","[]","[""Fall""]"
ME 6900G,Advanced Topics: Advanced Machine Design,1,"[""Department Permission for Course""]","[]","[]"
ME 4250,Optimization Methods for Complex Designs,3,"[""MATH 2650"", ""ME 1600""]","[]","[""Fall""]"
ME 4160,Mechanism Design and Analysis,3,"[""ME 3250""]","[]","[""Spring""]"
ME 5750,Introduction to Robust Control,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[]"
ME 5340,Energetic Materials Combustion and Systems,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
ME 5010,Fundamentals of Biorenewable Resources,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
ME 5610,Scanning Probe Microscopy,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Fall""]"
ME 5900U,Special Topics: Complex Fluid Systems,1,"[""Department Permission for Course""]","[]","[]"
ME 6970,Engineering Internship,0,"[""Department Permission for Course""]","[]","[]"
ME 2310,Engineering Thermodynamics I,3,"[""CHEM 1670"", [""MATH 1660"", ""MATH 1660H""], ""PHYS 2310"", ""PHYS 2310H"", ""PHYS 2310L""]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 5900Z,Special Topics: Simulation and Visualization,1,"[""Department Permission for Course""]","[]","[]"
ME 4170,Advanced Machine Design,3,"[""ME 3250"", ""MATE 2730""]","[]","[""Fall""]"
ME 5990,Creative Component,1,"[""Department Permission for Course""]","[]","[]"
ME 5450,Thermal Systems Design,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
PHYS 2310L,Introduction to Classical Physics I Laboratory,1,"[""MATH 1650"", [""MATH 1660"", ""PHYS 2310"", ""PHYS 2410""]]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 1700,Engineering Graphics and Introductory Design,3,"[""MATH 1430"", ""MATH 1450"", ""MATH 1650""]","[]","[""Fall"", ""Spring""]"
ME 6370,Convection Heat Transfer,3,"[]","[]","[""Fall""]"
ME 4370,Introduction to Combustion Engineering,3,"[""ME 3320""]","[]","[""Spring""]"
MATH 1050,Introduction to Mathematical Ideas,3,"[""Satisfactory math placement test score (ALEKS 15+)""]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 6990,Research,1,"[""Department Permission for Course""]","[]","[]"
ME 3700,Engineering Measurements,3,"[""EE 4420"", ""STAT 3050""]","[]","[""Fall"", ""Spring""]"
ME 4560,Machine Vision,3,"[""MATH 2070"", ""MATH 3170""]","[]","[""Fall""]"
ME 6930,Entrepreneurship for Graduate Students in Science and Engineering,1,"[]","[]","[""Fall"", ""Spring""]"
ME 6900T,Advanced Topics: Biological and Nanoscale Sciences,1,"[""Department Permission for Course""]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 5110,Advanced Control Design,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Fall""]"
ME 4510,Engineering Acoustics,3,"[""MATH 2660"", ""MATH 2670"", ""PHYS 2310"", ""PHYS 2310L""]","[]","[""Fall""]"
ME 5430,Introduction to Random Vibrations and Nonlinear Dynamics,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
ME 4210,System Dynamics and Control,4,"[""EE 4420"", ""EE 4480"", ""ME 3450"", ""MATH 2670""]","[]","[""Fall"", ""Spring"", ""Summer""]"
MATH 1040,Introduction to Probability,3,"[]","[]","[""Fall"", ""Spring"", ""Summer""]"
ME 5270,Mechanics of Machining and Finishing Processes,3,"[""ME 3240""]","[]","[""Fall""]"
ME 2200,Globalization and Sustainability,3,"[]","[]","[""Fall"", ""Spring""]"
ME 5730,Random Signal Analysis and Kalman Filtering,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Fall""]"
ME 4900N,Independent Study: Non Technical Elective,1,"[]","[]","[]"
ME 3250,Mechanical Component Design,3,"[""EM 3240"", [""ME 1700"", ""ENGR 1700""], ""STAT 3050""]","[]","[""Fall"", ""Spring""]"
ME 5640,Fracture and Fatigue,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Fall""]"
ME 4190,Computer-Aided Design,3,"[""ME 3250""]","[]","[""Fall"", ""Spring""]"
ME 5380,Advanced Fluid Flow,3,"[""ME 4360"", ""graduate standing""]","[]","[""Fall""]"
ME 5780,Nonlinear Systems,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
ME 4120,Ethical Responsibilities of a Practicing Engineer,3,"[""ME 3250""]","[]","[""Fall""]"
ME 5630,Micro and Nanoscale Mechanics,3,"[""Junior"", ""Senior"", ""Graduate Standing""]","[]","[""Spring""]"
ME 5800,Virtual Environments; Virtual Worlds; and Application,3,"[""Graduate Standing"", ""Permission of Instructor""]","[]","[""Spring""]"
ME 4750,Modeling and Simulation,3,"[""ME 4210"", ""ME 4360""]","[]","[""Spring""]"
ME 4260X,Mechanical Vibration,3,"[""EM 3240"", ""ME 3450"", [""MATH 2660"", ""MATH 2670""]]","[]","[]"
ME 5920,Data Analytics and Machine Learning for Cyber-Physical Systems Applications,3,"[""Junior"", ""Senior"", ""Graduate Standing""]","[]","[""Spring""]"
ME 6250,Surface Modeling,3,"[""Junior"", ""Senior"", ""Graduate Standing""]","[]","[""Fall""]"
CHEM 1670,General Chemistry for Engineering Students,4,"[[""MATH 1400"", [""CHEM 0500""]], [""CHEM 1630"", ""CHEM 1770"", ""CHEM 2010""]]","[]","[""Fall"", ""Spring""]"
ME 6320,Multiphase Flow,3,"[]","[]","[""Spring""]"
MATH 1640X,Advanced Elements of Calculus,3,"[""MATH 1630X""]","[]","[""Spring""]"
